version,name,live_body_md5,supabase_present,backend_present,supabase_definition,backend_definition,superseded,action
20260618234913,fix_set_value_history_refresh_bounds_scan,2b881a5cb2538e8cef17df3809ea63dc,true,true,exact_normalized,exact_normalized,not_established,none
20260618235838,add_set_value_history_backfill_queue,1e6f1c6e0225026be01c9fc5b5799c10,true,true,exact_normalized,exact_normalized,not_established,none
20260619041847,add_set_value_history_set_date_fix_queue,70bb4ed2ff320cd9a676238686f00c69,true,true,exact_normalized,exact_normalized,not_established,none
20260620161906,refresh_pokemon_set_value_daily_history_scopes,85e6f9e8646be918bbbbb12b268caedf,true,true,exact_normalized,exact_normalized,not_established,none
20260627033451,fix_set_value_hits_rollup,5e0b0c215230367ae73259b5c7a7d655,true,true,exact_normalized,exact_normalized,not_established,none
20260627052827,037_fix_set_value_history_captured_at_date,a0e2112cd665d6cdb52dda49c86000bb,true,true,exact_normalized,exact_normalized,not_established,none
20260713035237,enforce_pokemon_set_value_scope_invariants,c65d0e4a30ae52274c126a8e1fe8b479,true,true,exact_normalized,exact_normalized,not_established,none
20260713035546,pin_pokemon_set_value_scope_invariant_search_path,17fff95a7ef0dc3095d926da601a4cd4,true,true,exact_normalized,exact_normalized,not_established,none
20260823043917,add_pokemon_set_daily_card_constituents_rpc,b784b9b33b53dce859da93871a5da9ff,true,true,exact_normalized,exact_normalized,not_established,none
20260823044130,fix_pokemon_set_daily_card_constituents_captured_at_type,0e805a6675da60e39a5827bd81b67f91,true,true,exact_normalized,exact_normalized,not_established,none
20260823050706,set_card_constituent_rpc_timezone,78b66b51678ed08aeb00eb94475a5bdd,true,true,exact_normalized,exact_normalized,not_established,none
20260824024713,restrict_set_card_constituent_rpc_execute,92e9da8a1dd7007b6ceb60113d3cca8f,true,true,exact_normalized,exact_normalized,not_established,none
20260824035446,set_set_value_history_refresh_timezone,c8e901c630234620b0d55f94eec8db2d,true,true,exact_normalized,exact_normalized,not_established,none
20260825041922,add_pokemon_cards_daily_constituents_batched_rpc,9a4ed8357cd980130e0f1d8501b6b490,true,true,exact_normalized,exact_normalized,not_established,none
20260825042150,add_pokemon_market_explorer_daily_cohort_rpc,f52af87bcb9dc0e5c464b6e96136b86c,true,true,exact_normalized,exact_normalized,not_established,none
20260826005344,market_explorer_interval_constituents,1284578d90fd0e2fd05e3154905e2cf7,true,true,exact_normalized,exact_normalized,not_established,none
20260826005913,market_explorer_interval_constituents_bounded,05c16276a498470c2a8d37b0f461ba19,true,true,exact_normalized,exact_normalized,not_established,none
20260829005654,add_combined_pokemon_set_value_view,138727052a581bff250066feee73dd84,true,true,exact_normalized,exact_normalized,not_established,none
20260829005842,make_set_value_history_respect_canonical_eligibility,e437d5a7bab9c31cffa56ffe0f55a0d4,true,true,exact_normalized,exact_normalized,not_established,none
20260829011146,separate_pack_energy_from_collector_set_value,ba9588a4ca695194d377633780121c5a,true,true,exact_normalized,exact_normalized,not_established,none
20260829011249,allow_pokeball_item_card_in_history_constituents,a8bb08785d0dfae05d3e8c14b660fd5a,true,true,exact_normalized,exact_normalized,not_established,none
20260830090000,unify_pokemon_card_day_constituent_authority,d005a8438b01b61cf56fcc729e566f7b,true,true,formatting_equivalent,exact_normalized,not_established,none
20260830184558,market_explorer_filtered_card_cohorts,aac709d0f04621dbdd57655b1704b2c0,true,true,exact_normalized,exact_normalized,not_established,none
20260830190857,harden_market_explorer_variant_interval_acl,20006038f5dc426aa2e610df6eae4de4,true,true,exact_normalized,exact_normalized,not_established,none
20260830201143,optimize_market_explorer_cohort_execution,96f385f36ed967ee598cc59d302a46c2,true,true,formatting_equivalent,exact_normalized,not_established,none
20260830201610,preserve_market_explorer_observed_date_contract,c5e4060e087ceb1ba98f00a21b110efd,true,true,formatting_equivalent,exact_normalized,not_established,none
20260831021617,add_market_explorer_interval_range_fast_path,c9a5bf2a4b2b5108587fe2bbfbb43ad9,true,true,formatting_equivalent,exact_normalized,not_established,none
20260831030409,correct_market_explorer_instrument_eligibility,fc100987befa880c1f14db399cfb0c39,true,true,formatting_equivalent,exact_normalized,not_established,none
