card_name,set_name,rarity,subject_name,market_price,predicted_price,predicted_log_price,log_price,card_scarcity,subject_demand,card_chase_appeal,pull_probability,alternative_printings_of_subject,set_age_days
Quaquaval ex,Paldea Evolved,Double Rare,Quaquaval,0.68,0.69,-0.37396,-0.3856624808119846,0.5467108425811176,43.9032,0.0,0.008064516129032258,4,1132
Bellibolt ex,Paldea Evolved,Double Rare,Bellibolt,0.68,0.73,-0.31937,-0.3856624808119846,0.5467108425811176,49.9029,0.0,0.008064516129032258,2,1132
Squawkabilly ex,Paldea Evolved,Double Rare,Squawkabilly Green Plumage,0.68,0.71,-0.34666,-0.3856624808119846,0.5467108425811176,31.1137,0.0,0.008064516129032258,3,1132
Gardevoir ex,Scarlet and Violet Base Set,Double Rare,Gardevoir,0.68,1.99,0.68765,-0.3856624808119846,0.46975962630930923,70.8255,0.19565958195409044,0.011494252873563218,3,1202
Hop's Pincurchin ex,Ascended Heroes,Double Rare,Pincurchin,0.68,0.52,-0.66173,-0.3856624808119846,0.6405166836238638,43.2742,0.0,0.005235602094240838,1,166
Noivern ex,Prismatic Evolutions,Double Rare,Noivern,0.68,1.61,0.4792,-0.3856624808119846,0.5126529326323852,65.7217,0.1611955122193314,0.009433962264150943,1,544
Mega Lucario ex,Mega Evolution,Double Rare,Lucario,0.68,1.16,0.14712,-0.3856624808119846,0.3406206186877936,75.572,0.17420700922168517,0.020833333333333332,4,292
Bloodmoon Ursaluna ex,Twilight Masquerade,Double Rare,Ursaluna,0.68,0.65,-0.43801,-0.3856624808119846,0.459539046188037,44.7612,0.0,0.012048192771084338,4,782
Rabsca ex,Destined Rivals,Double Rare,Rabsca,0.68,0.65,-0.42498,-0.3856624808119846,0.46724922562178384,29.2496,0.0,0.011627906976744186,1,411
Team Rocket's Persian ex,Destined Rivals,Double Rare,Persian,0.68,1.23,0.21091,-0.3856624808119846,0.46724922562178384,63.6831,0.12786835758210865,0.011627906976744186,2,411
Great Tusk ex,Paldean Fates,Double Rare,Great Tusk,0.68,0.33,-1.11238,-0.3856624808119846,0.39967027472679084,33.2279,0.0,0.015873015873015872,1,901
Chi-Yu ex,Paldea Evolved,Double Rare,Chi Yu,0.67,0.71,-0.34666,-0.40047756659712525,0.5467108425811176,41.4323,0.0,0.008064516129032258,3,1132
Golisopod ex,Paradox Rift,Double Rare,Golisopod,0.67,1.5,0.40534,-0.40047756659712525,0.5536049848239342,63.2126,0.14629122444969428,0.0078125,3,985
Roaring Moon ex,Paradox Rift,Double Rare,Roaring Moon,0.67,0.72,-0.32832,-0.40047756659712525,0.5536049848239342,32.3599,0.0,0.0078125,4,985
Aegislash ex,Paradox Rift,Double Rare,Aegislash Shield,0.67,1.45,0.37423,-0.40047756659712525,0.5536049848239342,62.6311,0.13985279847619195,0.0078125,3,985
Zangoose ex,Ascended Heroes,Double Rare,Zangoose,0.67,0.78,-0.25421,-0.40047756659712525,0.6405166836238638,57.1665,0.0918052562638084,0.005235602094240838,1,166
Ethan's Ho-Oh ex,Ascended Heroes,Double Rare,Ho Oh,0.67,0.52,-0.66173,-0.40047756659712525,0.6405166836238638,44.8099,0.0,0.005235602094240838,1,166
Walking Wake ex,Temporal Forces,Double Rare,Walking Wake,0.67,0.67,-0.3998,-0.40047756659712525,0.4746950033224564,40.002,0.0,0.011235955056179775,4,845
Mega Mawile ex,Mega Evolution,Double Rare,Mawile,0.67,0.92,-0.07895,-0.40047756659712525,0.3406206186877936,69.0039,0.1294624035096192,0.020833333333333332,2,292
Iron Thorns ex,Twilight Masquerade,Double Rare,Iron Thorns,0.67,0.66,-0.42036,-0.40047756659712525,0.459539046188037,25.9483,0.0,0.012048192771084338,2,782
Cyclizar ex,Surging Sparks,Double Rare,Cyclizar,0.67,0.73,-0.30797,-0.40047756659712525,0.5126529326323852,35.1202,0.0,0.009433962264150943,2,614
Noivern ex,Paldea Evolved,Double Rare,Noivern,0.66,1.66,0.50517,-0.4155154439616658,0.5467108425811176,65.7217,0.1719044770761511,0.008064516129032258,2,1132
Miraidon ex,Ascended Heroes,Double Rare,Miraidon,0.66,0.52,-0.66173,-0.4155154439616658,0.6405166836238638,42.6149,0.0,0.005235602094240838,1,166
Hearthflame Mask Ogerpon ex,Prismatic Evolutions,Double Rare,Ogerpon,0.66,0.87,-0.14154,-0.4155154439616658,0.5126529326323852,55.8239,0.05971278828715498,0.009433962264150943,9,544
Iron Hands ex,Prismatic Evolutions,Double Rare,Iron Hands,0.66,0.72,-0.32827,-0.4155154439616658,0.5126529326323852,29.9471,0.0,0.009433962264150943,2,544
Mega Sharpedo ex,Phantasmal Flames,Double Rare,Sharpedo,0.65,0.49,-0.72053,-0.4307829160924542,0.3406206186877936,47.5584,0.0,0.020833333333333332,3,243
Forretress ex,Paldea Evolved,Double Rare,Forretress,0.65,0.73,-0.31937,-0.4307829160924542,0.5467108425811176,44.6166,0.0,0.008064516129032258,2,1132
Zekrom ex,Black Bolt,Double Rare,Zekrom,0.65,0.5,-0.68499,-0.4307829160924542,0.37793742783624573,54.6198,0.034919906582357746,0.017543859649122806,4,362
Skeledirge ex,Paradox Rift,Double Rare,Skeledirge,0.65,0.78,-0.24808,-0.4307829160924542,0.5536049848239342,46.1805,0.0,0.0078125,1,985
Scovillain ex,Temporal Forces,Double Rare,Scovillain,0.65,0.73,-0.31478,-0.4307829160924542,0.4746950033224564,41.0695,0.0,0.011235955056179775,1,845
Veluza ex,Journey Together,Double Rare,Veluza,0.64,0.83,-0.18741,-0.4462871026284195,0.4488135456452207,34.3717,0.0,0.012658227848101266,1,474
Tapu Koko ex,Journey Together,Double Rare,Tapu Koko,0.64,0.83,-0.18741,-0.4462871026284195,0.4488135456452207,39.635,0.0,0.012658227848101266,1,474
Cofagrigus ex,Paradox Rift,Double Rare,Cofagrigus,0.64,0.81,-0.21031,-0.4462871026284195,0.5536049848239342,51.2058,0.013350737814014036,0.0078125,2,985
Regice ex,Ascended Heroes,Double Rare,Regice,0.64,0.52,-0.66173,-0.4462871026284195,0.6405166836238638,39.2268,0.0,0.005235602094240838,1,166
Sandy Shocks ex,Prismatic Evolutions,Double Rare,Sandy Shocks,0.64,0.72,-0.32827,-0.4462871026284195,0.5126529326323852,30.23,0.0,0.009433962264150943,2,544
Gouging Fire ex,Temporal Forces,Double Rare,Gouging Fire,0.64,0.67,-0.3998,-0.4462871026284195,0.4746950033224564,29.5884,0.0,0.011235955056179775,4,845
Wugtrio ex,Temporal Forces,Double Rare,Wugtrio,0.64,0.71,-0.34312,-0.4462871026284195,0.4746950033224564,30.8287,0.0,0.011235955056179775,2,845
Flamigo ex,Surging Sparks,Double Rare,Flamigo,0.64,0.76,-0.27666,-0.4462871026284195,0.5126529326323852,42.4344,0.0,0.009433962264150943,1,614
Toxicroak ex,Scarlet and Violet Base Set,Double Rare,Toxicroak,0.63,0.84,-0.17789,-0.4620354595965587,0.46975962630930923,52.3821,0.022380288116628122,0.011494252873563218,2,1202
Iono's Bellibolt ex,Ascended Heroes,Double Rare,Bellibolt,0.63,0.5,-0.6874,-0.4620354595965587,0.6405166836238638,49.9029,0.0,0.005235602094240838,2,166
Mega Gardevoir ex,Ascended Heroes,Double Rare,Gardevoir,0.63,1.69,0.5225,-0.4620354595965587,0.6405166836238638,70.8255,0.2667816038961756,0.005235602094240838,1,166
Iron Boulder ex,Temporal Forces,Double Rare,Iron Boulder,0.63,0.67,-0.3998,-0.4620354595965587,0.4746950033224564,26.4707,0.0,0.011235955056179775,4,845
Keldeo ex,White Flare,Double Rare,Keldeo Ordinary,0.63,0.43,-0.83626,-0.4620354595965587,0.37793742783624573,47.8746,0.0,0.017543859649122806,3,362
Luxray ex,Twilight Masquerade,Double Rare,Luxray,0.63,1.57,0.44935,-0.4620354595965587,0.459539046188037,68.1912,0.16719133394031632,0.012048192771084338,2,782
Scream Tail ex,Twilight Masquerade,Double Rare,Scream Tail,0.63,0.66,-0.42036,-0.4620354595965587,0.459539046188037,37.1951,0.0,0.012048192771084338,2,782
Iron Treads ex,Paldean Fates,Double Rare,Iron Treads,0.63,0.33,-1.11238,-0.4620354595965587,0.39967027472679084,27.3322,0.0,0.015873015873015872,1,901
Noivern ex,Paldean Fates,Double Rare,Noivern,0.63,0.64,-0.44837,-0.4620354595965587,0.39967027472679084,65.7217,0.12566992316344375,0.015873015873015872,2,901
Mega Diancie ex,Phantasmal Flames,Double Rare,Diancie,0.62,0.61,-0.5018,-0.4780358009429998,0.3406206186877936,53.8172,0.026004340513100913,0.020833333333333332,1,243
Munkidori ex,Shrouded Fable,Double Rare,Munkidori,0.62,0.45,-0.80793,-0.4780358009429998,0.27815125038364363,35.6434,0.0,0.027777777777777776,4,712
Magnezone ex,Scarlet and Violet Base Set,Double Rare,Magnezone,0.62,0.83,-0.18812,-0.4780358009429998,0.46975962630930923,52.1712,0.020398842012855432,0.011494252873563218,2,1202
Melmetal ex,Stellar Crown,Double Rare,Melmetal,0.62,1.01,0.01103,-0.4780358009429998,0.5126529326323852,48.0515,0.0,0.009433962264150943,1,670
Beedrill ex,Chaos Rising,double rare,Beedrill,0.62,0.43,-0.84713,-0.4780358009429998,0.3450980400142568,54.9472,0.03414538047117064,0.02040816326530612,2,54
Tapu Koko ex,Paradox Rift,Double Rare,Tapu Koko,0.62,0.74,-0.30157,-0.4780358009429998,0.5536049848239342,39.635,0.0,0.0078125,3,985
Bombirdier ex,Paradox Rift,Double Rare,Bombirdier,0.62,0.76,-0.27483,-0.4780358009429998,0.5536049848239342,29.2496,0.0,0.0078125,2,985
Lapras ex,Perfect Order,Double Rare,Lapras,0.62,0.73,-0.31036,-0.4780358009429998,0.3167342277897933,64.8141,0.09384265047801553,0.023255813953488372,1,110
Registeel ex,Ascended Heroes,Double Rare,Registeel,0.62,0.52,-0.66173,-0.4780358009429998,0.6405166836238638,39.0687,0.0,0.005235602094240838,1,166
Koraidon ex,Temporal Forces,Double Rare,Koraidon,0.62,0.73,-0.31478,-0.4780358009429998,0.4746950033224564,46.4507,0.0,0.011235955056179775,1,845
Miraidon ex,Temporal Forces,Double Rare,Miraidon,0.62,0.73,-0.31478,-0.4780358009429998,0.4746950033224564,42.6149,0.0,0.011235955056179775,1,845
Ethan's Ho-Oh ex,Destined Rivals,Double Rare,Ho Oh,0.62,0.6,-0.51695,-0.4780358009429998,0.46724922562178384,44.8099,0.0,0.011627906976744186,4,411
