set_name,subject_name,subject_demand,demand_share_q_s,printing_count,selected_easiest_card,selected_rarest_card,reachable_access,elite_scarcity,dual_path,contribution,same_card_both_paths,elite_tie_count
Chaos Rising,Ampharos,68.8516,0.208534,1,Ampharos #90 (illustration rare),Ampharos #90 (illustration rare),0.493581,0.506419,0.249959,0.052125,True,0
Chaos Rising,Crobat,63.8304,0.15299,1,Crobat #93 (illustration rare),Crobat #93 (illustration rare),0.493581,0.506419,0.249959,0.038241,True,0
Chaos Rising,Gallade,62.9074,0.14278,1,Mega Gallade ex #48 (double rare),Mega Gallade ex #48 (double rare),0.654902,0.345098,0.226005,0.032269,True,0
Chaos Rising,Beedrill,54.9472,0.054725,2,Beedrill ex #3 (double rare),Beedrill ex #98 (ultra rare),0.654902,0.66823,0.437625,0.023949,False,0
Chaos Rising,Krookodile,58.2669,0.091447,1,Krookodile ex #55 (double rare),Krookodile ex #55 (double rare),0.654902,0.345098,0.226005,0.020668,True,0
Chaos Rising,Chespin,52.9972,0.033155,1,Chespin #87 (illustration rare),Chespin #87 (illustration rare),0.493581,0.506419,0.249959,0.008287,True,0
Chaos Rising,Cinccino,51.2614,0.013953,3,Cinccino ex #73 (double rare),Cinccino ex #119 (special illustration rare),0.654902,0.847741,0.555187,0.007747,False,0
Chaos Rising,Xerneas,51.5379,0.017012,1,Xerneas #91 (illustration rare),Xerneas #91 (illustration rare),0.493581,0.506419,0.249959,0.004252,True,0
Chaos Rising,Dragalge,50.6922,0.007657,3,Mega Dragalge ex #65 (double rare),Mega Dragalge ex #118 (special illustration rare),0.654902,0.847741,0.555187,0.004251,False,0
Phantasmal Flames,Charizard,87.9598,0.183883,4,Mega Charizard X ex #13 (Double Rare),Mega Charizard X ex #130 (Mega Hyper Rare),0.659379,1.0,0.659379,0.121249,False,1
Phantasmal Flames,Gengar,83.4567,0.162069,1,Mega Gengar ex #56 (Double Rare),Mega Gengar ex #56 (Double Rare),0.659379,0.340621,0.224598,0.036401,True,0
Phantasmal Flames,Heracross,65.038,0.072846,2,Mega Heracross ex #4 (Double Rare),Mega Heracross ex #108 (Ultra Rare),0.659379,0.662141,0.436602,0.031805,False,0
Phantasmal Flames,Rotom,58.9416,0.043315,3,Rotom ex #29 (Double Rare),Rotom ex #126 (Special Illustration Rare),0.659379,0.80103,0.528183,0.022878,False,0
Phantasmal Flames,Mismagius,60.4903,0.050817,2,Mismagius ex #36 (Double Rare),Mismagius ex #112 (Ultra Rare),0.659379,0.662141,0.436602,0.022187,False,0
Phantasmal Flames,Piplup,68.3767,0.08902,1,Piplup #98 (Illustration Rare),Piplup #98 (Illustration Rare),0.464059,0.535941,0.248708,0.02214,True,0
Phantasmal Flames,Flygon,68.2501,0.088406,1,Flygon #101 (Illustration Rare),Flygon #101 (Illustration Rare),0.464059,0.535941,0.248708,0.021987,True,0
Phantasmal Flames,Empoleon,60.2726,0.049762,2,Empoleon ex #70 (Double Rare),Empoleon ex #114 (Ultra Rare),0.659379,0.662141,0.436602,0.021726,False,0
Phantasmal Flames,Wooper,67.6001,0.085258,1,Paldean Wooper #102 (Illustration Rare),Paldean Wooper #102 (Illustration Rare),0.464059,0.535941,0.248708,0.021204,True,0
Phantasmal Flames,Toxtricity Amped,61.7283,0.056814,1,Toxtricity #103 (Illustration Rare),Toxtricity #103 (Illustration Rare),0.464059,0.535941,0.248708,0.01413,True,0
Phantasmal Flames,Lopunny,55.0226,0.02433,3,Mega Lopunny ex #84 (Double Rare),Mega Lopunny ex #128 (Special Illustration Rare),0.659379,0.80103,0.528183,0.012851,False,0
Phantasmal Flames,Meowth,59.3884,0.045479,1,Meowth #106 (Illustration Rare),Meowth #106 (Illustration Rare),0.464059,0.535941,0.248708,0.011311,True,0
Phantasmal Flames,Ludicolo,56.0919,0.02951,1,Ludicolo #95 (Illustration Rare),Ludicolo #95 (Illustration Rare),0.464059,0.535941,0.248708,0.007339,True,0
Phantasmal Flames,Diancie,53.8172,0.018491,1,Mega Diancie ex #41 (Double Rare),Mega Diancie ex #41 (Double Rare),0.659379,0.340621,0.224598,0.004153,True,0
Surging Sparks,Pikachu,86.6387,0.213053,4,Pikachu ex #57 (Double Rare),Pikachu ex #247 (Hyper Rare),0.487347,1.0,0.487347,0.103831,False,1
Surging Sparks,Flygon,68.2501,0.106124,2,Flygon ex #106 (Double Rare),Flygon ex #222 (Ultra Rare),0.487347,0.747077,0.364086,0.038638,False,0
