predictor,outcome,spearman,pearson_log
distinct_subject_count,top_10_card_value,0.5351,0.4974
D1,top_10_avg_value,0.5506,0.5045
A_star,top_10_avg_value,-0.4519,-0.3984
M1_star,top_10_avg_value,0.8107,0.7973
D1_M1_F4_market_chase,top_10_avg_value,0.8649,0.8609
dual_path_depth,top_10_avg_value,-0.0519,-0.0586
complement_gap,top_10_avg_value,0.6143,0.6745
axis_position,top_10_avg_value,-0.6896,-0.6228
CA0_desirability_only,top_10_avg_value,0.5506,0.5045
CA1_accessible,top_10_avg_value,-0.261,-0.2136
CA2_chase,top_10_avg_value,0.8649,0.8609
CA3_geometric_balance,top_10_avg_value,0.2935,0.3328
CA4_linear_75_25,top_10_avg_value,0.2753,0.3955
CA4_linear_60_40,top_10_avg_value,0.6429,0.6738
CA4_linear_50_50,top_10_avg_value,0.7753,0.7675
CA4_linear_40_60,top_10_avg_value,0.8377,0.8162
CA4_linear_25_75,top_10_avg_value,0.8545,0.8481
CA5_interaction_45_45_10,top_10_avg_value,0.7455,0.7481
CA5_interaction_40_40_20,top_10_avg_value,0.7234,0.7241
CA5_interaction_35_35_30,top_10_avg_value,0.6416,0.6946
CA6_dual_path_utility,top_10_avg_value,0.4195,0.4206
profit_score,top_10_avg_value,-0.3469,-0.2968
safety_score,top_10_avg_value,-0.374,-0.3755
stability_score,top_10_avg_value,-0.7195,-0.7317
checklist_size,top_10_avg_value,0.0597,0.202
eligible_card_count,top_10_avg_value,0.5934,0.5266
distinct_subject_count,top_10_avg_value,0.5351,0.4974
D1,median_hit_value,-0.1169,-0.2209
A_star,median_hit_value,-0.7156,-0.6996
M1_star,median_hit_value,0.3566,0.342
D1_M1_F4_market_chase,median_hit_value,0.2779,0.189
dual_path_depth,median_hit_value,-0.4844,-0.5388
complement_gap,median_hit_value,-0.0558,-0.0438
axis_position,median_hit_value,-0.6325,-0.6385
CA0_desirability_only,median_hit_value,-0.1169,-0.2209
CA1_accessible,median_hit_value,-0.6766,-0.7376
CA2_chase,median_hit_value,0.2779,0.189
CA3_geometric_balance,median_hit_value,-0.3792,-0.5334
CA4_linear_75_25,median_hit_value,-0.4792,-0.5323
CA4_linear_60_40,median_hit_value,-0.1377,-0.2767
CA4_linear_50_50,median_hit_value,0.0247,-0.1343
CA4_linear_40_60,median_hit_value,0.1013,-0.0271
CA4_linear_25_75,median_hit_value,0.2013,0.083
CA5_interaction_45_45_10,median_hit_value,-0.0117,-0.1651
CA5_interaction_40_40_20,median_hit_value,-0.026,-0.1986
CA5_interaction_35_35_30,median_hit_value,-0.1026,-0.2351
CA6_dual_path_utility,median_hit_value,-0.3416,-0.4416
profit_score,median_hit_value,0.037,0.0835
safety_score,median_hit_value,-0.5182,-0.5704
stability_score,median_hit_value,0.187,0.2038
checklist_size,median_hit_value,0.0377,-0.0405
eligible_card_count,median_hit_value,0.4023,0.2198
distinct_subject_count,median_hit_value,0.3771,0.205
D1,mean_hit_value,0.4416,0.2874
A_star,mean_hit_value,-0.3675,-0.2647
M1_star,mean_hit_value,0.6171,0.658
D1_M1_F4_market_chase,mean_hit_value,0.6649,0.6658
dual_path_depth,mean_hit_value,-0.0481,0.0289
complement_gap,mean_hit_value,0.4831,0.5971
axis_position,mean_hit_value,-0.5377,-0.4703
CA0_desirability_only,mean_hit_value,0.4416,0.2874
CA1_accessible,mean_hit_value,-0.1766,-0.1408
CA2_chase,mean_hit_value,0.6649,0.6658
CA3_geometric_balance,mean_hit_value,0.2779,0.2799
CA4_linear_75_25,mean_hit_value,0.261,0.3277
CA4_linear_60_40,mean_hit_value,0.5351,0.5361
CA4_linear_50_50,mean_hit_value,0.6468,0.6042
CA4_linear_40_60,mean_hit_value,0.6481,0.6385
CA4_linear_25_75,mean_hit_value,0.6649,0.6595
CA5_interaction_45_45_10,mean_hit_value,0.6156,0.5936
CA5_interaction_40_40_20,mean_hit_value,0.6143,0.5798
CA5_interaction_35_35_30,mean_hit_value,0.5364,0.5623
CA6_dual_path_utility,mean_hit_value,0.3468,0.2816
profit_score,mean_hit_value,-0.2098,-0.0965
safety_score,mean_hit_value,-0.4117,-0.3724
stability_score,mean_hit_value,-0.5481,-0.5907
checklist_size,mean_hit_value,-0.1403,-0.0581
eligible_card_count,mean_hit_value,0.3003,0.1962
distinct_subject_count,mean_hit_value,0.2341,0.1713
D1,total_hit_value,0.5623,0.4727
A_star,total_hit_value,-0.6143,-0.5406
M1_star,total_hit_value,0.8107,0.8306
D1_M1_F4_market_chase,total_hit_value,0.8675,0.8743
dual_path_depth,total_hit_value,-0.1987,-0.1722
complement_gap,total_hit_value,0.5247,0.6237
axis_position,total_hit_value,-0.813,-0.7421
CA0_desirability_only,total_hit_value,0.5623,0.4727
CA1_accessible,total_hit_value,-0.4208,-0.3605
CA2_chase,total_hit_value,0.8675,0.8743
CA3_geometric_balance,total_hit_value,0.213,0.2335
CA4_linear_75_25,total_hit_value,0.1649,0.2729
CA4_linear_60_40,total_hit_value,0.5753,0.596
CA4_linear_50_50,total_hit_value,0.7351,0.7164
CA4_linear_40_60,total_hit_value,0.8091,0.786
CA4_linear_25_75,total_hit_value,0.8403,0.8398
CA5_interaction_45_45_10,total_hit_value,0.6987,0.6916
CA5_interaction_40_40_20,total_hit_value,0.6714,0.6619
CA5_interaction_35_35_30,total_hit_value,0.5844,0.6262
CA6_dual_path_utility,total_hit_value,0.3558,0.3389
profit_score,total_hit_value,-0.3508,-0.2703
safety_score,total_hit_value,-0.5039,-0.4958
stability_score,total_hit_value,-0.5961,-0.5916
checklist_size,total_hit_value,0.226,0.328
eligible_card_count,total_hit_value,0.7078,0.6327
distinct_subject_count,total_hit_value,0.6502,0.5759
D1,set_value,0.5506,0.467
A_star,set_value,-0.6169,-0.5823
M1_star,set_value,0.8152,0.8417
D1_M1_F4_market_chase,set_value,0.8714,0.8792
dual_path_depth,set_value,-0.2013,-0.2182
complement_gap,set_value,0.5273,0.6102
axis_position,set_value,-0.8156,-0.774
CA0_desirability_only,set_value,0.5506,0.467
CA1_accessible,set_value,-0.4234,-0.4028
CA2_chase,set_value,0.8714,0.8792
CA3_geometric_balance,set_value,0.2078,0.1897
CA4_linear_75_25,set_value,0.1597,0.2384
CA4_linear_60_40,set_value,0.5701,0.5746
CA4_linear_50_50,set_value,0.7325,0.7028
CA4_linear_40_60,set_value,0.8065,0.7784
CA4_linear_25_75,set_value,0.8416,0.8385
CA5_interaction_45_45_10,set_value,0.6948,0.6754
CA5_interaction_40_40_20,set_value,0.6675,0.6428
CA5_interaction_35_35_30,set_value,0.5792,0.6042
CA6_dual_path_utility,set_value,0.3429,0.3116
profit_score,set_value,-0.3443,-0.2853
safety_score,set_value,-0.4974,-0.5081
stability_score,set_value,-0.5844,-0.5761
checklist_size,set_value,0.213,0.3136
eligible_card_count,set_value,0.7046,0.6404
distinct_subject_count,set_value,0.6482,0.5908
D1,value_per_eligible_card,0.3468,0.229
A_star,value_per_eligible_card,-0.239,-0.2161
M1_star,value_per_eligible_card,0.5716,0.6447
D1_M1_F4_market_chase,value_per_eligible_card,0.5922,0.6308
dual_path_depth,value_per_eligible_card,0.0636,0.0865
complement_gap,value_per_eligible_card,0.5143,0.6123
axis_position,value_per_eligible_card,-0.4325,-0.4325
CA0_desirability_only,value_per_eligible_card,0.3468,0.229
CA1_accessible,value_per_eligible_card,-0.0922,-0.114
CA2_chase,value_per_eligible_card,0.5922,0.6308
CA3_geometric_balance,value_per_eligible_card,0.2805,0.2797
CA4_linear_75_25,value_per_eligible_card,0.2766,0.3279
CA4_linear_60_40,value_per_eligible_card,0.4844,0.5198
CA4_linear_50_50,value_per_eligible_card,0.5857,0.581
CA4_linear_40_60,value_per_eligible_card,0.5727,0.6108
CA4_linear_25_75,value_per_eligible_card,0.5922,0.6277
CA5_interaction_45_45_10,value_per_eligible_card,0.5571,0.5731
CA5_interaction_40_40_20,value_per_eligible_card,0.561,0.5624
CA5_interaction_35_35_30,value_per_eligible_card,0.4857,0.5484
CA6_dual_path_utility,value_per_eligible_card,0.3026,0.2584
profit_score,value_per_eligible_card,-0.141,-0.0718
safety_score,value_per_eligible_card,-0.2935,-0.345
stability_score,value_per_eligible_card,-0.5273,-0.5642
checklist_size,value_per_eligible_card,-0.226,-0.1175
eligible_card_count,value_per_eligible_card,0.1774,0.1206
distinct_subject_count,value_per_eligible_card,0.1138,0.0969
D1,value_per_hit_card,0.4091,0.2286
A_star,value_per_hit_card,-0.4597,-0.4532
M1_star,value_per_hit_card,0.6645,0.7203
D1_M1_F4_market_chase,value_per_hit_card,0.6727,0.693
dual_path_depth,value_per_hit_card,-0.1558,-0.135
complement_gap,value_per_hit_card,0.4481,0.5507
axis_position,value_per_hit_card,-0.6286,-0.6301
CA0_desirability_only,value_per_hit_card,0.4091,0.2286
CA1_accessible,value_per_hit_card,-0.3156,-0.3548
CA2_chase,value_per_hit_card,0.6727,0.693
CA3_geometric_balance,value_per_hit_card,0.1208,0.0942
CA4_linear_75_25,value_per_hit_card,0.113,0.1545
CA4_linear_60_40,value_per_hit_card,0.4597,0.43
CA4_linear_50_50,value_per_hit_card,0.5896,0.5376
CA4_linear_40_60,value_per_hit_card,0.6312,0.6024
CA4_linear_25_75,value_per_hit_card,0.6558,0.6554
CA5_interaction_45_45_10,value_per_hit_card,0.5584,0.5167
CA5_interaction_40_40_20,value_per_hit_card,0.539,0.4919
CA5_interaction_35_35_30,value_per_hit_card,0.4584,0.4623
CA6_dual_path_utility,value_per_hit_card,0.2416,0.1472
profit_score,value_per_hit_card,-0.2975,-0.2527
safety_score,value_per_hit_card,-0.4818,-0.4686
stability_score,value_per_hit_card,-0.6156,-0.6236
checklist_size,value_per_hit_card,-0.1961,-0.0854
eligible_card_count,value_per_hit_card,0.3724,0.4119
distinct_subject_count,value_per_hit_card,0.3199,0.4101
D1,value_per_subject,0.2766,0.1365
A_star,value_per_subject,-0.113,-0.0492
M1_star,value_per_subject,0.4774,0.5455
D1_M1_F4_market_chase,value_per_subject,0.4883,0.5144
dual_path_depth,value_per_subject,0.2026,0.2476
complement_gap,value_per_subject,0.5117,0.6023
axis_position,value_per_subject,-0.2948,-0.2773
CA0_desirability_only,value_per_subject,0.2766,0.1365
CA1_accessible,value_per_subject,0.0286,0.0212
CA2_chase,value_per_subject,0.4883,0.5144
CA3_geometric_balance,value_per_subject,0.3883,0.3482
CA4_linear_75_25,value_per_subject,0.3766,0.3697
CA4_linear_60_40,value_per_subject,0.5039,0.4941
CA4_linear_50_50,value_per_subject,0.5532,0.5238
CA4_linear_40_60,value_per_subject,0.5078,0.5321
CA4_linear_25_75,value_per_subject,0.5182,0.529
CA5_interaction_45_45_10,value_per_subject,0.539,0.5259
CA5_interaction_40_40_20,value_per_subject,0.5584,0.5266
CA5_interaction_35_35_30,value_per_subject,0.5052,0.5253
CA6_dual_path_utility,value_per_subject,0.3597,0.2571
profit_score,value_per_subject,-0.0214,0.08
safety_score,value_per_subject,-0.1571,-0.2281
stability_score,value_per_subject,-0.4221,-0.4669
checklist_size,value_per_subject,-0.2429,-0.1564
eligible_card_count,value_per_subject,0.0221,-0.0532
distinct_subject_count,value_per_subject,-0.0501,-0.1023
D1,top1_value_concentration,0.4156,0.4227
A_star,top1_value_concentration,0.3377,0.2708
M1_star,top1_value_concentration,0.0286,0.0659
D1_M1_F4_market_chase,top1_value_concentration,0.1403,0.2177
dual_path_depth,top1_value_concentration,0.3481,0.2342
complement_gap,top1_value_concentration,0.2818,0.2471
axis_position,top1_value_concentration,0.1429,0.1458
CA0_desirability_only,top1_value_concentration,0.4156,0.4227
CA1_accessible,top1_value_concentration,0.3922,0.3928
CA2_chase,top1_value_concentration,0.1403,0.2177
CA3_geometric_balance,top1_value_concentration,0.3545,0.4439
CA4_linear_75_25,top1_value_concentration,0.4545,0.5005
CA4_linear_60_40,top1_value_concentration,0.3571,0.445
CA4_linear_50_50,top1_value_concentration,0.2675,0.3899
CA4_linear_40_60,top1_value_concentration,0.2481,0.3398
CA4_linear_25_75,top1_value_concentration,0.1351,0.2811
CA5_interaction_45_45_10,top1_value_concentration,0.2896,0.3987
CA5_interaction_40_40_20,top1_value_concentration,0.3052,0.4073
CA5_interaction_35_35_30,top1_value_concentration,0.3273,0.4151
CA6_dual_path_utility,top1_value_concentration,0.3545,0.4753
profit_score,top1_value_concentration,-0.2618,-0.4361
safety_score,top1_value_concentration,0.0351,0.0581
stability_score,top1_value_concentration,-0.6987,-0.7938
checklist_size,top1_value_concentration,-0.0636,-0.1218
eligible_card_count,top1_value_concentration,-0.1007,0.0375
distinct_subject_count,top1_value_concentration,-0.132,0.0855
D1,top3_value_concentration,0.2442,0.3043
A_star,top3_value_concentration,0.3779,0.2891
M1_star,top3_value_concentration,0.0578,0.0784
D1_M1_F4_market_chase,top3_value_concentration,0.0987,0.1837
dual_path_depth,top3_value_concentration,0.3948,0.2598
complement_gap,top3_value_concentration,0.3065,0.2732
axis_position,top3_value_concentration,0.2364,0.171
CA0_desirability_only,top3_value_concentration,0.2442,0.3043
CA1_accessible,top3_value_concentration,0.3857,0.3665
CA2_chase,top3_value_concentration,0.0987,0.1837
CA3_geometric_balance,top3_value_concentration,0.2688,0.3694
CA4_linear_75_25,top3_value_concentration,0.374,0.4538
CA4_linear_60_40,top3_value_concentration,0.2766,0.3971
CA4_linear_50_50,top3_value_concentration,0.2182,0.3444
CA4_linear_40_60,top3_value_concentration,0.2052,0.2972
CA4_linear_25_75,top3_value_concentration,0.1143,0.2425
CA5_interaction_45_45_10,top3_value_concentration,0.2377,0.3527
CA5_interaction_40_40_20,top3_value_concentration,0.2429,0.3607
CA5_interaction_35_35_30,top3_value_concentration,0.2558,0.3682
CA6_dual_path_utility,top3_value_concentration,0.3013,0.3834
profit_score,top3_value_concentration,-0.1591,-0.335
safety_score,top3_value_concentration,0.2766,0.211
stability_score,top3_value_concentration,-0.7247,-0.7729
checklist_size,top3_value_concentration,-0.2182,-0.2698
eligible_card_count,top3_value_concentration,-0.1625,-0.0516
